"Name","LawsonDiv","DivisionNo","PolygonID","Rate ID","Area","TotalLines","In Compass","Form Completed","Notes"
"DIV_092_HOA_Buena_Vista_Bryan_OH.html","4091","092","1197530","4091-092-1197530","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Christy_Meadows_Defiance_OH.html","4091","092","1185446","4091-092-1185446","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Crooked_Lake_Angola_IN.html","4091","092","1185450","4091-092-1185450","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Durham_Estates_Bryan_OH.html","4091","092","1134420","4091-092-1134420","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Lake_Diane_Camden_MI.html","4091","092","1185447","4091-092-1185447","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Lake_George_Fremont_IN.html","4091","092","1185449","4091-092-1185449","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Lake_Seneca_Montpelier_OH.html","4091","092","1134447","4091-092-1134447","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Merry_Lake_Camden_MI.html","4091","092","1134444","4091-092-1134444","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Mobile_%20Rama_Fremont_IN.html","4091","092","1536685","4091-092-1536685","A10-Great Lakes","3","Yes","6/21/2017","Summary Routed Account"
"DIV_092_HOA_Norlick_Place_Bryan_OH.html","4091","092","1179415","4091-092-1179415","A10-Great Lakes","3","Yes",,
"Div_092_HOA_Orchard_Hills_Bryan_OH.html","4091","092","1579762","4091-092-1579762","A10-Great Lakes","3","Yes",,
"DIV_092_HOA_Snow_Lake_Fremont_IN.html","4091","092","1134445","4091-092-1134445","A10-Great Lakes","3","Yes",,
"DIV_092_MHP_Stoney_Ridge_Butler_IN.html","4091","092","1193766","4091-092-1193766","A10-Great Lakes","3","Yes",,
"DIV_092_MUNI_Fremont_IN.html","4091","092","1000590","4091-092-1000590","A10-Great Lakes","3","Yes",,
"DIV_092_MUNI_West_Unity_OH.html","4091","092","1004381","4091-092-1004381","A10-Great Lakes","3","Yes",,
"DIV_092_OM_Residential_Service_Area_OH_MI.html","4091","092","409109203","4091-092-409109203","A10-Great Lakes","3","No",,
"DIV_384_HOA_Aaron_Woods_Wheeling_WV.html","4384","384","1017144","4384-384-1017144","A10-Great Lakes","1","Yes",,
"DIV_384_MUNI_Brookside_Bridgeport_OH.html","4384","384","1002964","4384-384-1002964","A10-Great Lakes","1","Yes",,
"DIV_384_OM_Residential_Service_Area.html","4384","384","438438403","4384-384-438438403","A10-Great Lakes","1","Yes",,
"DIV_388_HOA_Grand_Manor_MHP_Celina_OH.html","4388","388","1014855","4388-388-1014855","A10-Great Lakes","1","Yes",,
"DIV_388_MUNI_Ottawa_OH.html","4388","388","1000161","4388-388-1000161","A10-Great Lakes","3","Yes",,
"DIV_388_MUNI_Tiffin_OH.html","4388","388","1002963","4388-388-1002963","A10-Great Lakes","4","Yes",,
"DIV_388_OM_Marion_Township_Mercer_County_OH.html","4388","388","1578384","4388-388-1578384","A10-Great Lakes","2","Yes",,
"DIV_388_OM_Outside_City_Limits_of%20Ada_Bloomville_Multi_Cities_Ohio.html","4388","388","1578385","4388-388-1578385","A10-Great Lakes","2","Yes",,
