Company Number,Comp Use Susp Fee,Charge Susp Fee Flag,Susp Fee Charge Amt,Description1,Description2
  015,Y,Y,35.00,MIDWEST,Hawkeye Disposal
  026,Y,Y,35.00,GREAT LAKES,AWS of Salem - Ohio
  029,Y,Y,35.00,MID-ATLANTIC,AWS of Fredericksburg
  035,Y,Y,35.00,HEARTLAND,Jefferson City
  046,Y,Y,35.00,GREAT LAKES,Columbus
  050,Y,Y,35.00,MID-ATLANTIC,AWS of Baltimore
  053,Y,Y,35.00,HEARTLAND,BFI Waste Services of Tulsa
  058,Y,Y,35.00,SOUTH,AWS of Abilene
  060,Y,Y,35.00,HEARTLAND,Oklahoma City
  066,Y,Y,35.00,SOUTH,AWS of Amarillo
  068,Y,Y,35.00,SOUTH,AWS of Lubbock
  069,Y,Y,35.00,SOUTH,Corsicana Hauling
  070,Y,Y,35.00,SOUTH,Kilgore
  091,Y,Y,35.00,GREAT LAKES,Serv-All / CRS
  092,Y,Y,35.00,GREAT LAKES,AWS - Bryan
  094,Y,Y,35.00,NORTHEAST,"Revere, MA"
  095,Y,Y,35.00,NORTHEAST,AWS of Tyngsboro
  096,Y,Y,35.00,NORTHEAST,AWS of Cape Cod
  097,Y,Y,35.00,NORTHEAST,AWS of Fall River
  111,Y,Y,35.00,NORTHEAST,AWS of Buffalo
  172,N,N,10.00,NORTHWEST,Eastside Disposal
  175,Y,Y,35.00,NORTHWEST,U.S. Disposal
  176,Y,N,16.84,NORTHWEST,Kent Meridian Disposal
  183,N,N,10.00,NORTHWEST,Sea Tac Disposal
  197,N,N,10.00,NORTHWEST,Lynnwood Disposal
  205,N,N,10.00,WEST,Sunrise Sanitation
  206,N,N,10.00,WEST,Sunset Disposal
  207,N,N,10.00,WEST,Lathrop Sunrise
  208,Y,Y,35.00,WEST,Delta Container
  210,Y,Y,35.00,WEST,AWS of Contra Costa County
  224,Y,Y,35.00,GREAT LAKES,BFI-Elyria
  233,Y,Y,35.00,NORTHWEST,St. George Division
  237,Y,Y,35.00,GREAT LAKES,Flint
  239,Y,Y,35.00,GREAT LAKES,Harlands Waste
  240,Y,Y,35.00,GREAT LAKES,Grand Rapids
  241,Y,Y,35.00,GREAT LAKES,Metro
  249,Y,Y,35.00,GREAT LAKES,Kalamazoo
  253,Y,Y,35.00,GREAT LAKES,Pontiac
  259,Y,Y,35.00,GREAT LAKES,BFI of Toledo
  260,Y,Y,35.00,HEARTLAND,Dayton
  261,Y,Y,10.00,GREAT LAKES,Ford Total Waste
  262,Y,Y,35.00,GREAT LAKES,AWS of Youngstown
  263,Y,Y,35.00,GREAT LAKES,BFI Waste Services of Sandusky
  264,Y,Y,35.00,GREAT LAKES,Allied Waste - Pittsburg
  270,Y,Y,35.00,GREAT LAKES,Adrian
  271,Y,Y,35.00,MIDWEST,"Elkhart, IN"
  282,Y,Y,20.00,NORTHEAST,Raritan - Lehigh Valley
  318,Y,Y,35.00,NORTHEAST,AWS of Schuylkill Valley
  319,Y,Y,35.00,NORTHEAST,AWS of Brandywine
  320,Y,Y,20.00,NORTHEAST,AWS of Bucks-Mont
  321,Y,Y,35.00,NORTHEAST,AWS of Delaware
  323,Y,Y,35.00,NORTHEAST,AWS of Philadelphia
  324,Y,Y,35.00,NORTHEAST,AWS of Valley Forge
  346,Y,Y,35.00,HEARTLAND,St. Louis
  347,N,N,.00,HEARTLAND,St Louis Portable Services
  350,Y,Y,35.00,HEARTLAND,Edwardsville
  352,Y,Y,35.00,HEARTLAND,Capitol Waste
  366,Y,Y,35.00,MIDWEST,ADS Environtech
  368,Y,Y,35.00,HEARTLAND,Bloomington
  375,Y,Y,35.00,HEARTLAND,Arrowhead Waste
  376,Y,Y,35.00,HEARTLAND,Sunset Disposal
  384,N,N,10.00,GREAT LAKES,Rohrig Sanitation
  388,Y,Y,35.00,GREAT LAKES,ADS of Ohio
